,text,label
59,i have a feeling that has to do with the unfortunate fact that our family cat recently passed away,sadness
60,i feel a lot less hostile,anger
61,i miss feeling am his only special girl hed take out on a date,joy
62,i do with family education and one way we feel that family education is so vital not just because you can come in and help the one who is addicted it is for the family because they are also negatively impacted by the slough that comes off with a person who is addicted,joy
63,i will never feel completely content i will always long for more,joy
64,im feeling a little better and with more christmas spirit i thought that by this date id had all my christmas decorations up but im not finish even with the lights,joy
65,i was feeling extremely generous last night so my companion ate double and i just told the lion in my stomach to pipe it,joy
66,i suppose because there is so much to do i feel over burdened,sadness
67,i feel strong confident intelligent and ready to step out into the real world,joy
68,i know how you feel about being shy,fear
69,i know im going to disappoint you but ive decided not to volunteer this year because i fear ill end up feeling resentful,anger
70,i feel that lauterbach was victimized again and again,sadness
71,i feel wronged by certain people and my instinct was to get angry at them and stop speaking to them but two wrongs dont make a right i think,anger
72,im noticing how easy it is to waver between excitement and engagement in the everyday the mundane the fun sparkly shiny stuff of life and absolute desperate misery or guilt for not feeling miserable more often,sadness
73,ill write here from time to time when im feeling especially inspired but for the most part im done,joy
74,i am still a bit of a pagan in that respect in that i feel everything has something of the divine in it and god is not separate from the earth but part of it as are we,joy
75,i didn t feel threatened at all in fact the place seemed almost welcoming comforting even,fear
76,i feel that the technology and the act of communication are their own challenge and i have been hesitant to figure out how to make it work,fear
77,i feel so devastated over someone i was skeptical about all along,sadness
78,i have to put on a mask when i come into work i have to suppress all of the emptiness i feel inside the pain and loneliness the bitter and jaded woman that i really am,anger
79,i have been able to lose three kilo s and i am feeling more energetic even with an month old so things seem to be on track,joy
80,i feel free to express myself without inhibition,joy
81,realizing that school will soon be over,sadness
82,i remember then feeling bitter that i couldnt pop the balloons and join in the celebrations,anger
83,i think that was what got me started feeling homesick,sadness
84,id have good days weeks months but i kept feeling like it cant last life cant be this sweet,joy
85,im the customer i wont feel welcomed but intimidated,joy
86,i feeling glamourous i wear something glamourous i feeling more relaxed i put on me feel relaxed so basically fashion expression of person,joy
87,i am feeling rather fond of my neighbourhood right now,love
88,im still me its just im feeling affectionate here lately,love
89,i was feeling really overwhelmed,surprise
90,i don t want to sit inside and be alone i don t want to just do nothing but i also feel anxious overwhelmed,fear
91,i feel less and less burdened or bothered by both the past and my present day to day challenges,sadness
92,i did in april and how i couldn t feel my feet until the run because the water was so cold,anger
93,im only barely starting to feel uncomfortable,fear
94,i can feel comfortable shooting in daisy dukes and a bikini top,joy
95,i feel like i havent had a moment to breathe so a little beach time amp relaxation is welcomed,joy
96,i am feeling helpless because he is who the referee in game,sadness
97,i had not been in a convertible in many many years and the feeling of the wind in my hair was so wonderful,joy
98,i feel like a whiner because my pain is really not that bad compared to what many people live with and i still have some hope of recovery while many do not,sadness
99,i feel like it is chipping away at my heart bit by bit with an extremely dull and cold chisel,sadness
100,i get the same feeling gp amp fab but then i always do,joy
101,i feel stupid that i felt that way about you but i feel even stupider is that even a word,sadness
102,i cant stop talking even though im already feel weird uncomfortable feeling swarming me but still my mouth keeps saying unnecessary word,fear
103,i stood before my newly rebuilt bike looking across the field i had to ride feeling very apprehensive,fear
104,i feel every word of mine is so valuable that i must get paid for it there s plenty of journal maunderings and half finished stories or essays and always will be,joy
105,i was feeling a little remorseful that even jonathan franzen would hop the in my day bandwagon,sadness
106,i feel extremely irritable today and i am craving weird foods like green chile which is non existent here in fort collins in its purest form,anger
107,im not feeling so enamoured with them now as they start their warbling at daybreak and it really is not the most pleasant of birdsongs,joy
108,i watch the film i feel sympathetic for all the characters,love
109,i feel better and worse,joy
110,i knew that ive been nominated by angel i feel so honored,joy
111,i feel awfully isolated as if i have no one to talk about these things to,sadness
112,i like super committed like to the point where i feel like i could honestly see myself marrying the person and am not a fan of casual sex or sex without love or any of that does your mate need to be taller than you,joy
113,i am feeling alarmed now so i need to stop and bring my breathing back to a calm zen like serenity,fear
114,i feel triumphant for some reason,joy
115,i don t feel and look like one maybe because i m still single and not very much fond of alcohol and cigarettes,love
116,i really love reading bible because i can feel the presence of the lord jesus and i feel every single word it says and also amazed on how this and that happened how jesus sacrifice just to save us from our sin and also looking back then on how he created everything in this world,surprise
117,ive been feeling hopeless and helpless,sadness
118,i feel like ive pressured her into this so i tell her no,fear
119,i feel so useless and dont know how to trust people anymore,sadness
120,i would have just told him how i was feeling maybe the issue could have been resolved and i wouldn t have been so physically uncomfortable,joy
121,i just feel a bit reluctant to accept the fact that i have to eat ksb very cautiously from now on,fear
122,i feel so many artistic motivations that is hard to keep them to myself,joy
123,i am a very different person now much more confident and i feel proud,joy
124,it was the time i went home for my holidays only to find that my sister had passed away the news had been hidden from me,sadness
125,im kind of feeling hopeless about the job situation,sadness
126,i need to change in me is to be even more willing to put myself out there to share and to ask others for help without feelings of guilt or remorse or doubt and without treating those who offer help as slightly suspicious,fear
127,i feel a bit pathetic but i am lost at the moment,sadness
128,i gave my all later to regret it and feel the affects but for someone suffering on more of a downward spiral i can only begin to imagine how they may not have passed the test,sadness
129,i feel pretty pathetic that i have been in therapy for almost three decades and i m still crazy,sadness
130,i feel very optimistic about this coming season,joy
131,i feel valued when im with him,joy
132,ive been feeling so cranky and why so many others around me are so cranky,anger
133,im emotionally drained my head is lowered although my body is not in the corner rocking back and forth thats how i feel what do you do when someone is too stubborn to love you,anger
134,i feel really skeptical and scared about this exam not sure if luck will be on my side this time,fear
135,i am so glad and thankful to feel worm attention of the people and to hear the people say it was delicious,joy
136,i feel someone or something poses a threat to her and that i dont get angry with her,anger
137,i always had the feeling that this dream of mine even if popular was not at all useless,joy
138,i was feeling a bit sceptical,fear
139,i feel very inspired by my friend and fellow blogger maya s recent sensational photo shoot get in yummy mummy,joy
140,i hate feeling nothing for the date and defeated in some part of my life,sadness
141,i know i m not the only one there is a reason why jersey shore and honey boo boo got shows it s so we can all look down on the freaks and feel superior,joy
142,i took mg wasn t thinking that i took already not mg so i messed up a little here since i am trying to stay at mg or less and now i am feeling really relaxed from a long day,joy
143,i feel like im a useless person,sadness
144,i start pulling away the leaves feeling the cool thick soil jamming under my fingernails,joy
145,i feel the kicks and get reassured by them wiggles is actually in trouble or worse,joy
146,i try to return to it i feel like i broke up with a boyfriend and don t know how to get the relationship back on track,sadness
147,i do feel guilty for not being able to carry the strong attachments as i move on but could never change,sadness
148,i feel agitated and cant think of anything productive to do all i can really do is lay on my bed not getting a blink of sleep but think think think,anger
149,ive come back to montreal ive been feeling restless,fear
150,i had also wondered in the past if you and i could be more but i always thought i was feeling needy during those times or badly about myself,sadness
151,i do feel worthless sometime like im not good enough for anyone my friends and sometimes even my family,sadness
152,i would feel ungrateful not to honor it,sadness
153,im feeling a bit amazed and grateful about having landed amid such a congregation,surprise
154,i feel like i should mention there was another sweet family with us,love
155,i feel for the abused,sadness
156,im feeling a bit melancholy,sadness
157,i just sat there feeling this weird feeling and a few moments later the leader called out to wind it down so we could switch roles,surprise
158,i replied feeling a little agitated at that remark,fear
159,i credit i didn t feel agitated about all that stuff on my face and in my hair until a good two hours later which is longer than you re supposed to keep it up anyway i think,anger
160,i want to let you know even if you are feeling lousy and defeated right now life will turn out exactly how you imagined and wanted it to,sadness
161,i feel generous and i follow but mostly i endure it because i like the person and am willing to wait it out until they reach this somewhat artificial goal,joy
162,i ended up feeling pretty terrific about myself yesterday,joy
163,i suppose i should feel stubborn about not letting summer go but im really pretty indifferent towards the whole school thing,anger
164,i feel the suffering of people a thousand years ago for goodness sake,sadness
165,i would not have told him or even joined the company had i not had a feeling he would be supportive,love
166,i feel like we have been so blessed already we may just be pushing our luck to try ivf again,love
167,i think the book blogger slump hits whenever this blog starts to feel like work instead of a beloved pastime,love
168,i immediately felt lucky then scared then ached to take away some of the pain these families are suffering i feel hopeless to do anything,sadness
169,i feel like it s back to boring,sadness
170,i knew those feelings to the core but thankfully my daughter came out just fine,joy
171,i do eat around him and it turns out i need to purge ever so bad i feel horrible like i have to ask for permission i have to let him know what im about to do,sadness
172,ive been feeling loggy and irritable for a couple weeks now which i am content to largely ascribe to the whole just moved and building a comfort zone part of my brain,anger
173,i feel appreciative to eisner camp for many reasons this circumstance is just one more to add to a very long list,joy
174,i feel happy about the outcome of this long election and im glad its over,joy
175,i know the signs elevated resting heart rate mood swings pain in the muscles and joints especially in the upper thigh muscles sudden loss of strength no desire for weights lifting decreased sleep times lose of muscle mass feeling irritable,anger
176,i knew that feeling and i felt disgusted at myself for feeling it,anger
177,i wish that more women could feel comfortable to talk about what their day was really like and not just highlight the perfect parts,joy
178,i feel honoured to have this opportunity to work with different types of people and to experience their skills and have their encouragement,joy
179,i got up this morning feeling energetic,joy
180,i feel paranoid a href http cyncake,fear
181,i am feeling happy and positive again my bowel on the other hand has again become a grumbling mess and the back and hip pain is slowly creeping back into my life,joy
182,i also noticed that i can actually feel more trusting of myself and i believe that my spirit feels the same way that it can trust me and i can better trust it,joy
183,i love travel and out of that developed a love of photography however i began to feel that the type of travel photography i was doing even though it was commercially successful was very unsatisfying and clearly not expressing any of my personality or thoughts on the world,joy
184,i feel i have the responsibility to behave in a calm mature manner but that doesnt always happen,joy
185,i walked out of there probably feeling less fearful happier and content than any other time,fear
186,ive been feeling so weird,surprise
187,i feel very pissed annoyed and depressed at the same time about a whole lot of stuff,anger
188,i feel that i have an emotional connection to my work i can t let what others have to say about my work affect me emotionally and mentally,sadness
189,i feel like i have been eager to get my undergrad finished for the last three years,joy
190,i feel like maybe i should branch out some but i m not fond of warm colors like reds and oranges so that limits things a bit,love
191,i like to spend my days off going to the us and visiting tractor supply or price chopper for wonderfully american food or if im feeling especially adventurous i go to burlington or other towns in vermont for a lookaround and a little shopping,joy
192,i use the art to interpret life and he connection we all have finding that i can describe how i feel better with a drawing than with words,joy
193,i feel kinda dumb but what is radicalism,sadness
194,im feeling whiney because i cant seem to get things this year many for other people and a few for myself,sadness
195,i know i shouldn t be upset shouldn t feel this melancholy that is eating away at my insides leaving tears in my eyes and an ache in my heart,sadness
196,i was talking a lot to david i started feeling that way and i hated it,sadness
197,i didn t know whether it was just pre race apprehension or if i was feeling a bit jaded after such a busy season but i had really struggled to summon up some enthusiasm for this race,sadness
198,i to see bracken feeling miserable this is definitely the most miserable hes ever been and were really grateful he hasnt been sick very often,sadness
199,i was exhausted and sad and feeling worthless before i was even years old and this was just the beginning,sadness
200,i m writing about myself now but when i look at them here i feel wonderfully privileged to have known so many like and unlike myself in such extreme situations,joy
201,i didn t feel like much was resolved and was a little disappointed by this,joy
202,i feel very privileged to have shared this event with everyone and highly recommend it to potterheads fans of things or just people who love reading,joy
203,i couldnt feel any divine being in my own pulse,joy
204,im becoming cynical in my old age my birthdays in two days and im feeling aggravated by circumstances,anger
205,i worked on a lot of techniques this past saturday and i feel confident in my ability to capture my first world championship,joy
206,i close my eyes but i can t help feel a re sidual melancholy either from the music or his demeanor,sadness
207,i remembered it feels terrible i couldnt continue it was easy at all totally,sadness
208,im feeling stressed about this more than i should,anger
209,i feel is an important part of the grieving and healing process,joy
210,i feel safe enough to nap,joy
211,i feel heartless as i pass them by knowing that giving them money will only invite more trouble,anger
212,i feel more peaceful already,joy
213,i would like to feel that loving presence too the kind everyone else feels,love
214,i am feeling stressed out i grab a book workout or take a walk and i feel better than ever but sometimes we need a little bit of a boost to get us going so today im going to talk to you about a product that i received from swaggable,anger
215,i definitely feel invigorated,joy
216,i made you feel i shudve been more considerate,love
217,i feel as though putting these cartoon characters we grew up with as innocent children in a not so innocent situation reflects so the changes we go through from children to adults,joy
218,i think i just remembered why i ve never bothered to watch election coverage i m left hoping my guy won but feeling completely helpless while all of these overly made up buffoons pretend to know what they re talking about,sadness
219,i had been feeling a little drained spiritually and i was praying for god to refresh and revive my spirit and enable me to spend more time with him,sadness
220,i should force my hand to find a resolution for it all i cant help but feel it would be in vain with bc coming and everyone so busy doing their own little thing,sadness
221,i repeated feeling a little stupid,sadness
222,i might have to take a trip out there in the off season when i m feeling homesick,sadness
223,i did not feel sadness i did not feel frightened i was incredibly happy,fear
224,im off the medication and still not feeling much more energetic and worse i can feel my emotional range flattening,joy
225,im feeling pretty relieved about how things went on november especially since the democrats held onto the senate,joy
226,i space on we can t blame it in order to read that our actions that you see there are not bad to share each and we can t blame it on you have been hiding things might try to read that at several things he or has already cheated on you see we feel needy now this takes place,sadness
227,i feel a little neglectful of my blog among other things,sadness
228,i have a feeling that my thoughts on this are not going to be popular and that s ok with me,joy
229,i feel the need to spend money on clothes again i will invest in a very precious designer basic or another leather jacket and swap it against a similar item thats already there so the number of black basics on my rack stays the same,joy
230,i now feel fairly content to give the summer up because theres so many new things to celebrate and prepare for,joy
231,i just panicked until peony told me to go and get the doc he looked at me and i knew that he was feeling completely useless,sadness
232,i know you still feel surprised about this thinking what could you have done to deserve it,surprise
233,i hate feeling rushed its the one thing that totally throws me off and causes me to make mistakes,anger
234,i really hate that feeling of getting ignored by someone u love,sadness
235,i guess our feeling is that thats not acceptable,joy
236,i kind of feel heartless,anger
237,i was a wee bonny lass ive always wanted to go to something like a nightclub or a party or a concert where im surrounded by hundreds of people and i feel the divine spark i feel this connection of joy with them all because briefly we are all happy,joy
238,i feel distracted during those times,anger
239,i don t have to live like that anymore but i m also grateful for the memory because that memory is pretty much the first one that my mind flicks to when i m feeling aggravated at mankind as a whole and afraid of everything including my shadow,anger
240,i take comfort being paralyzed now for years and living in this weird state of abnormal separation from all things normal in knowing that i am always connected to god that these feelings of loneliness will pass and in once sense that aloneness loneliness can be good for us,joy
241,i do feel a little strange every time i say the phrase in real life in,fear
242,i cant answer you about how my feelings i cant talk now as id lost all my wisdom i cant tell the truth because i have none so far,sadness
243,i was apparently feeling rather sociable i became acquainted with cheriee not to be confused with cherie jersey trip which i accidentally kept calling her actually because theyre spelled so much alike but of course are pronounced differently,joy
244,i feel a bit of furious that time,anger
245,im back to feeling deprived or im not sure yet what it is,sadness
246,i had been feeling pretty pissed about this for the past few days pss i am gonna proof you wrong,anger
247,i have an awesome brain that shuts down and put me in sleep mode when reality is hard when i feel troubled,sadness
248,i havent had a bf for about a year now and just scared because i feel like no one really wants to be with me and am not pretty or intelligent enough for them,joy
249,i limped along feeling helpless as my knowledge and memory faded and soon i was forced to stop working in public accounting,fear
250,i feel disgusted when people judge others for the way they are dressed pray eat anything different than their lifestyle and they cast others evil and sinners,anger
251,i look at them i feel proud knowing that i made them myself,joy
252,i was feeling somewhat excited about the graduation ceremony which will start at pm,joy
253,i feel positive about what i am doing,joy
254,i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over,anger
255,i feel very sorry for them because they are really missing out,sadness
256,i was feeling grumpy this morning both work and personal life were making me grumpy,anger
257,ive rethought my feeling about this and have decided that i rather liked it when expensive items were thought of as inaccessible,love
258,i feel like i should live up to my image and try to change what i perceive to be in my nature my nervous personality,fear
259,ill feel so pathetic,sadness
260,i feel soo ungrateful but everyone else has such nice places to live and stuff left behind by past gappers to help them out,sadness
261,i feel incredibly fantastic,joy
262,i know i should not feel ugly as i am a creation of god and not alone for i have jesus forever by me but nature looks me in the face everyday and shows me the brutality of earth,sadness
263,im still loving that im eating delicious food and not feeling deprived and even getting in a piece of pizza some beers and a few chicken wings,sadness
264,i feel that what i find i should share and unfortunately it is not pleasant,joy
265,i just feel mostly pathetic right now,sadness
266,i did feel like i got through enough to confidently say which ones i liked in comparison to others,love
267,i feel shocked to realize that whatever were talking about were both seeing understanding in the same way,surprise
268,i have created and shared on this blog feel free to share it with others but please give credit and a link back to me and do not take credit for something that is not your creation,joy
269,i remembered years ago wondering how i would feel if revival broke out in rochester span style background yellow font size,sadness
270,i feel very disillusioned and frustrated with british administration for anguilla,sadness
271,i dont sense that i am feeling enraged until i throw something but i am getting better at recognizing the signs,anger
272,i feel a little disturbed seeing distressed members of society being pimped out in such a blatant no holds barred media way as to create a special pipeline and a need for more ajc print products and to increase ipad app downloads,sadness
273,ive spent way too much time feeling pain to the point that im frightened to leave myself open to it,fear
274,im feeling so groggy still,sadness
275,i am feeling stressed that i will go blank and not be able to perform the day we do our exams,sadness
276,i feel so pathetic every time when we quarrel ad weve to ignore each other i feel like really i lose a part of me but why,sadness
277,im feeling like the next couple days are going to be entirely devoted to scarlett since i didnt get to spend much time with her this weekend,love
278,i feel joyful about avoiding,joy
279,i mean i feel like its such a tragic loss i cant even begin to imagine how the band and his family must feel and what theyre going through right now,sadness
280,i spent years walking around the gym feeling absolutely terrified feeling judged feeling small feeling stupid,fear
281,i wont feel as pressured into working faster,fear
282,i don t feel ugly today,sadness
283,i found no satisfaction and no contentment chasing the feeling of being happy,joy
284,i feel eager for things to really start happening,joy
285,ive got going on that is incredibly intensive and difficult and causing me to feel very stressed about it,sadness
286,i have a feeling words will be angered with me and this time it asnt my fault,anger
287,i feel someone s hands wrap around me and i m frightened thinking someone else is trying to hurt me,fear
288,i battle back and forth feeling anxiety over not being productive yet unable to be productive,joy
289,i feel lost and stressed out a little but i wil,sadness
290,i must say i feel a little jaded because my organisation the heart foundation cancer choice have spent quite a significant amount of time and quite a reasonable amount of money to come to this point and i think its entirely inappropriate action from the food and grocery council he said,sadness
291,i feel that if i ask for help that somehow makes me less intelligent than the person im asking for help from and i cant stand that feeling,joy
292,i wouldn t be getting long winded about this had it just been an isolated incident and i hate feeling so cranky over the idea that the arts are thriving to the point where a saturday matinee for the city ballet is so well sold at least in the upper sections,anger
293,i need to tell people about myself or im not going to feel like im decaying emotionally losing touch and become neurotic,fear
294,i feel accepted there said panorma who is from indonesia,joy
295,i feel a bit ashamed about it,sadness
296,i just feel like i want to change it again a href http sweet pleione,joy
297,i can feel glamorous without makeup too especially on my lips,joy
298,i feel like i deserve to feel this way like i deserve to be punished,sadness
299,i feel and know i am very messy in the kitchen and i really really want to work better in the kitchen so i dont mess up when i do it for reals,sadness
300,i was so excited and it came at the perfect time when i was feeling a little homesick,sadness
301,i was left feeling disheartened disillusioned and disconnected,sadness
302,i feel the smart money pain,joy
303,i feel rushed and out of control,anger
304,i have been waking up and feeling rather vile and murderous the past few days,anger
305,i don t want to remind him i want him to and yet i feel i can t continue supporting him in this relationship without this extra support but i have to even do this in a sensitive but firm way to set boundaries and parameters on what is okay for me and what is needed for him,joy
306,i feel angry i feel angry see me frown see me frown,anger
307,i can even say my opinion on something without him feel offended,anger
308,i can almost see the dark eyes of judas iscariot averted from those of our savior so as not to feel the searing and sorrowful scorn that must have accompanied his gaze as he continued the charade by asking is it i,sadness
309,i feel all weepy,sadness
310,i think it is probably good for somebody who might feel disempowered to realize that there are things they can do in their life so they dont have to feel victimized,sadness
311,i said to her and she said you feel shy so hard to look to buy clothes she did not dare to,fear
312,i feel awful that it wasnt ready before you were born but it is coming together and it is beautiful,sadness
313,i knew entering the race i would not be going for any kind of time goal but its still hard not to feel embarrassed,sadness
314,im in no way complaining but i just cant shake this feeling that im doomed,sadness
315,i still feel unsure sometimes,fear
316,i think of an inner ear something or other causing much lightheadedness and feeling of low energy blood pressure thankfully is ok,sadness
317,i sometimes feel troubled,sadness
318,i have had in my entire mission and it feels so good,joy
319,i am going to write about the one trait that i feel separates the merely talented athlete from the great ones that is consistency,joy
320,i think i am feeling more the after effects of being in bed too long than the cold,anger
321,im feeling pissed off about losing a stone in weight and then not losing any more,anger
322,im starting to feel more calm about whats going to happen,joy
323,i belonged but there is a difference between feeling like youre accepted and you belong and feeling like youre each others people,love
324,i mean maybe i just don t get it but i feel like a restaurant chain supporting anything is similar to a chicken sandwich supporting something,love
325,i really feel very guilty,sadness
326,im still feeling a little annoyed about it all,anger
327,i also remember what it feels like to be and in love and confused and exhilarated and nervous and happy and independent and perhaps just slightly out of control,fear
328,i feel when i m reading them not unpleasant just uniquely his style,sadness
329,i am writing this so when addy gets the chance to be somebodys momma and she feels discouraged she will hold out and write this message to her own baby,sadness
330,i now feel more hopeful on how to reach my goal,joy
331,i feel that hooking up is the more popular option during this time,joy
332,i stopped there because the whole thing was feeling shaky,fear
333,i am feeling hesitant to go for another german one right now,fear
334,i feel a bit heartless for thinking about trivial stuff like make up and clothes,anger
335,i feel the gentle breeze from the open windows i hear the birds playful chatter at their feeder just outside my patio door and the beautiful song of the running fountain nearby,love
336,i feel its a terrible habit,sadness
337,i finally do go i feel a little bit sorry for whoever is the final catalyst,sadness
338,i feel so unfriendly,anger
339,i was feeling really sentimental and a bit sour wishing i could be back in culinary school,sadness
340,i get to go to mass every day and that i met the super kind people at my church but sometimes when i m feeling terrified and alone and when i want to die to end the pain of abandonment of being tossed aside like garbage after years of marriage nothing and no one helps,fear
341,i have a feeling i ll be unpleasantly surprised with the results,surprise
342,i wish to still feel the longing to be with you,love
343,i hear about my friends going ons and the drama of their lives i feel so little and petty,anger
344,i feel love the collection target blank title click here if you liked this article,sadness
345,i feel resistance and in this i forgive myself that i have accepted and allowed myself to not realize that i can stay awake when as i feel tired when i am resisting working on something and not give into the a href http eqafe,love
346,i feel that my life is frankly a little boring,sadness
347,i feel might be useful to teachers and administrators who work with refugees,joy
348,i feel so cold a href http hoyhenkeijukainen,anger
349,i that we routinely forgo their delicious sublime organic meals because we d rather not feel quite that unwelcome,sadness
350,i feel betrayed i fell dismayed yet somehow i dont feel the rage,sadness
351,i like the feeling that i have a talent to entertain and at my age that is quite precious,joy
352,i felt a profound and dramatic shift into feeling being that divine love that i was longing for,joy
353,i feel bad for her but i a href http lolhunt,sadness
354,i eventually realised is that the positive feeling experiences are like twice as fucked as the negative energetic experiences because the positive is birthed from the negative,anger
355,im feeling weird right now dont know if it is sadness or something else,fear
356,im thinking feeling or being inspired by on a daily basis,joy
357,i can almost feel ezekiel s terror and awe and his frantic grasping at words while knowing he just doesn t and can t quite capture it,fear
358,i believed if i didn t feel it that far i must not be mad or happy or caring etc,anger
359,i feel like no guy would ever use the term disillusioned asshole but that could be just that i have only been told this by girls in the past,sadness
360,i feel myself getting so distracted and not willing to talk to him anymore like it just makes me sad and feel like giving up,anger
361,i may not feel like im not the perfect blogger or teacher i realized i need keep my focus on the reason why i started this blog over a year ago,joy
362,i made the feeling of belonging and being valued will probably last longer than the shoes and socks ever will,joy
363,i hate the moment when i completely feel perfect with people around me whom i love the most suddenly disappear,joy
364,i feel joyful and inspired to write lately that only happens to me for two reasons when im hurt beyond tears and when im very very happy,joy
365,i saw what he could do and then when he told me everything it was like everything just clicked and i suddenly saw him for who he really was and all these feelings id repressed came to the surface and i realized that i love him,sadness
366,i love to feel useful,joy
367,i feel kind of apprehensive to pledge my life serve a nation and that im not super proud to be part of,fear
368,i know words only have as much power that you give them but the messenger of such words can be just as influential on how it makes you feel he said that it was a term of endearment but all i felt was dismay and quite frankly i got pissed off,anger
369,i figure making contact with her in a mature fashion will make her feel like an ass for being so randomly bitchy,anger
370,i began to feel eager to leave i felt uncomfortable like an elevator at rush hour,joy
371,i couldnt help feeling slightly sympathetic towards her,love
372,im feeling frightened and i dont know how to handle this,fear
373,i am not feeling sociable and just want to stay and home and watch the tennis finals on my couch,joy
374,i feel like a lame piece of poop,sadness
375,i expect to beaten down to give until i feel as if i can give no more to love without being loved always to continually pray to feel pain for my children and because of my children,love
376,i don t feel insecure,fear
377,im feeling very proud,joy
378,i feel physically and emotionally exhausted,sadness
379,i feel more like i m in chicago or ann arbor than kyrgyzstan but it s been so wonderful to relax to see new places and spend time with other volunteers,joy
380,too many people in tv room,anger
381,i occasionally slip into one of my usual stews of frustration all fueled by attachments non acceptance and most of all ego of course the banes of serenity in this human body but usually i feel satisfied and alive,joy
382,i got a weird feeling in my tummy and was instantly scared because i had never heard of anything like this,fear
